Source,Model,Raw_Text,Year,Price,Naval_Price
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/03 1798 手自排 2 99,000 汽油 119,053km A+",2020/03,99000,113849
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/03 1798 手自排 2 38,000 汽油 239,912km B",2020/03,38000,43700
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2020/03 1798 手自排 3 68,000 汽油 119,898km B+",2020/03,68000,78200
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 灰 2020/03 1798 手自排 2 31,000 汽油 77,632km C+",2020/03,31000,35650
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2020/03 1798 手自排 2 70,000 汽油 45,267km B",2020/03,70000,80500
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2020/04 1798 手自排 2 73,000 汽油 52,815km B",2020/04,73000,83950
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/04 1798 手自排 3 59,000 汽油 59,559km A+",2020/04,59000,67850
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2020/04 1798 手自排 3 98,000 汽油 82,802km A+",2020/04,98000,112699
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2020/06 1798 手自排 2 59,000 汽油 125,507km A",2020/06,59000,67850
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 灰 2020/07 1798 手自排 3 38,000 汽油 99,609km A+",2020/07,38000,43700
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/09 1798 手自排 3 44,000 汽油 137,623km A",2020/09,44000,50599
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/09 1798 手自排 2 77,000 汽油 35,568km B",2020/09,77000,88550
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2020/09 1798 手自排 2 82,000 汽油 81,372km B",2020/09,82000,94299
